datetime,CACHE_YOLO,COLUMB_TRNR,DIVERSION_AG,DUT_FAL_FISH,EXPORT_CCF,EXPORT_CVP,EXPORT_IF,EXPORT_SWP,MIDR_MOUTH,OLDR_HEAD,OLDR_MOUTH,PAST_CHIPPS,PAST_MTZ,SAC_TO_3MI,SAC_TO_DCC,SAC_TO_GEO,SAC_TO_STM,SAC_TO_SUT,STMBT_N_TO_S,TO_NBA,TO_SUISUN
28Apr2017  1600,12,0,0,-2,0,0,0,0,0,0,3,88,75,2,0,17,22,23,31,0,1
28Apr2017  1700,12,0,0,-1,0,0,0,0,0,0,3,88,75,2,0,17,22,23,31,0,1
28Apr2017  1800,12,0,0,-1,0,0,0,0,0,0,3,87,75,2,0,17,22,23,31,0,1
28Apr2017  1900,12,0,0,-1,0,0,0,0,0,0,3,87,75,2,0,17,22,23,31,0,1
28Apr2017  2000,12,0,0,-1,0,0,0,0,0,0,3,88,75,2,0,17,22,23,31,0,1
28Apr2017  2100,12,0,0,-1,0,0,0,0,0,0,3,88,75,2,0,17,22,23,31,0,1
28Apr2017  2200,12,0,0,-1,0,0,0,0,0,0,3,89,75,2,0,17,22,23,31,0,1
28Apr2017  2300,12,0,0,-2,0,0,0,0,0,0,3,89,75,2,0,17,22,23,31,0,1
29Apr2017  0000,12,0,0,-2,0,0,0,0,0,0,3,89,76,2,0,17,22,23,31,0,1
29Apr2017  0100,12,0,0,-2,0,0,0,0,0,0,3,89,76,2,0,17,22,23,31,0,1
29Apr2017  0200,12,0,0,-1,0,0,0,0,0,0,3,89,76,2,0,17,22,23,31,0,1
29Apr2017  0300,12,0,0,-1,0,0,0,0,0,0,3,88,76,2,0,17,22,23,31,0,1
29Apr2017  0400,12,0,0,-1,0,0,0,0,0,0,3,88,76,2,0,17,22,23,31,0,1
29Apr2017  0500,12,0,0,-1,0,0,0,0,0,0,3,87,76,2,0,17,22,23,31,0,1
29Apr2017  0600,12,0,0,-1,0,0,0,0,0,0,3,87,76,2,0,17,22,23,31,0,1
29Apr2017  0700,12,0,0,-1,0,0,0,0,0,0,3,88,76,2,0,17,22,23,31,0,1
29Apr2017  0800,12,0,0,-1,0,0,0,0,0,0,3,88,76,2,0,17,22,23,31,0,1
29Apr2017  0900,12,0,0,-1,0,0,0,0,0,0,3,89,77,2,0,17,22,23,31,0,1
29Apr2017  1000,12,0,0,-1,0,0,0,0,0,0,3,90,78,2,0,17,22,23,31,0,2
29Apr2017  1100,12,0,0,-1,0,0,0,0,0,0,3,90,80,2,0,17,22,23,31,0,2
29Apr2017  1200,13,0,0,-2,0,0,0,0,0,0,3,91,81,2,0,17,22,23,31,0,2
29Apr2017  1300,13,0,0,-2,0,0,0,0,0,0,3,91,82,2,0,17,22,23,31,0,2
29Apr2017  1400,13,0,0,-2,0,0,0,0,0,0,3,91,82,2,0,17,22,23,31,0,2
29Apr2017  1500,13,0,0,-2,0,0,0,0,0,0,3,91,82,2,0,17,22,23,31,0,2
29Apr2017  1600,13,0,0,-2,0,0,0,0,0,0,3,91,82,2,0,17,22,23,31,0,2
29Apr2017  1700,13,0,0,-2,0,0,0,0,0,0,3,91,82,2,0,17,22,23,31,0,2
29Apr2017  1800,12,0,0,-2,0,0,0,0,0,0,3,91,82,2,0,17,22,23,31,0,2
29Apr2017  1900,12,0,0,-2,0,0,0,0,0,0,3,90,82,2,0,17,22,23,31,0,2
29Apr2017  2000,12,0,0,-2,0,0,0,0,0,0,3,90,82,2,0,17,22,23,31,0,2
29Apr2017  2100,12,0,0,-2,0,0,0,0,0,0,3,90,82,2,0,17,22,23,31,0,2
29Apr2017  2200,12,0,0,-2,0,0,0,0,0,0,3,91,82,2,0,17,22,23,31,0,2
29Apr2017  2300,12,0,0,-2,0,0,0,0,0,0,3,91,82,2,0,17,22,23,31,0,2
30Apr2017  0000,13,0,0,-2,0,0,0,0,0,0,3,91,82,2,0,17,22,23,31,0,2
30Apr2017  0100,13,0,0,-2,0,0,0,0,0,0,3,91,82,2,0,17,22,23,31,0,2
30Apr2017  0200,13,0,0,-2,0,0,0,0,0,0,3,91,82,2,0,17,22,23,31,0,2
30Apr2017  0300,13,0,0,-2,0,0,0,0,0,0,3,91,82,2,0,17,22,23,31,0,2
30Apr2017  0400,12,0,0,-2,0,0,0,0,0,0,3,91,82,2,0,17,22,23,31,0,2
30Apr2017  0500,12,0,0,-1,0,0,0,0,0,0,3,91,82,2,0,17,22,23,31,0,2
